Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
Mercedes Benz GLC,2022.0,1639,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2022 300 4Matic gia 1 Tỷ 639 Triệu - Hà Nội,52000.0
Porsche Cayenne,2021.0,4889,Hà Nội,Ban xe oto cu Porsche Cayenne 2021 S gia 4 Tỷ 889 Triệu - Hà Nội,47000.0
BMW 7 Series,2018.0,1590,Hà Nội,Ban xe oto cu BMW 7 Series 2018 730Li gia 1 Tỷ 590 Triệu - Hà Nội,110000.0
Lexus RX,2021.0,2789,Hà Nội,Ban xe oto cu Lexus RX 2021 300 gia 2 Tỷ 789 Triệu - Hà Nội,32000.0
Jaguar F-Pace,2016.0,1189,Hà Nội,Ban xe oto cu Jaguar F-Pace 2016 R-Sport gia 1 Tỷ 189 Triệu - Hà Nội,58000.0
Lexus LM,2025.0,8600,Hà Nội,Ban xe oto cu Lexus LM 2025 500h gia 8 Tỷ 600 Triệu - Hà Nội,500.0
Kia Morning,2019.0,188,Thái Nguyên,Ban xe oto cu Kia Morning 2019 MT gia 188 Triệu - Thái Nguyên,90000.0
Toyota Innova,2026.0,925,Hà Nội,Ban xe oto Toyota Innova 2026 Cross HEV 2.0 CVT gia 925 Triệu - Hà Nội,
Kia Morning,2021.0,315,Thái Nguyên,Ban xe oto cu Kia Morning 2021 Luxury gia 315 Triệu - Thái Nguyên,69000.0
MG RX5,2023.0,519,Thái Nguyên,Ban xe oto cu MG RX5 2023 1.5T STD gia 519 Triệu - Thái Nguyên,71000.0
Toyota Fortuner,2017.0,626,Thái Bình,Ban xe oto cu Toyota Fortuner 2017 2.4G 4x2 MT gia 626 Triệu - Thái Bình,90000.0
VinFast Fadil,2020.0,292,Thái Nguyên,Ban xe oto cu VinFast Fadil 2020 1.4 AT Plus gia 292 Triệu - Thái Nguyên,48000.0
Mitsubishi Pajero Sport,2024.0,1099,Hà Nội,Ban xe oto cu Mitsubishi Pajero Sport 2024 3.0G 4x4 AT Premium gia 1 Tỷ 99 Triệu - Hà Nội,19000.0
